Ticker,Share Issued,Stock Price,Market Cap,Net Debt,Cash Flow (5y avg),Price to Earnings,Intrinsic Value,Dividend Yield,Financials Exchange Rate
ANF,62.97999954223633,103300000.0,6505833952.713013,130134000.0,102754500.0,29.43,11.206960309777347
VJET,1.2799999713897705,9135000.0,11692799.738645554,12239000.0,-8051750.0,nan,-7.4743842364532025
PINC,20.360000610351562,125587858.0,2556968865.5327454,201294000.0,323172000.0,13.95,27.335556594969553
LLY,608.3099975585938,949688000.0,577704704961.4258,2511600000.0,4485375000.0,86.16,49.87464304066178
TLF,4.329999923706055,8300627.0,35941714.27671242,37344000.0,-100917.0,15.46,4.377359686202018
PSX,113.91000366210938,653361255.0,74424382949.73038,32000000.0,3225500000.0,4.82,49.41676561460628
APO,88.11000061035156,566809153.0,49941554816.78285,142172000000.0,1038878750.0,142.11,269.1572404794952
MOH,359.9700012207031,58000000.0,20878260070.80078,9060000000.0,1227500000.0,22.34,367.84482758620686
PTN,1.7599999904632568,11656714.0,20515816.528832912,15270732.0,-10106807.25,nan,-7.360336755281119
MMSI,65.9800033569336,57634000.0,3802691513.4735107,187795000.0,75216000.0,42.03,16.309036332720268
STRS,27.65999984741211,9572000.0,264761518.5394287,-106816000.0,-64601000.0,nan,-78.64876723777685
BRT,17.860000610351562,17917000.0,319997630.93566895,-428350000.0,2829750.0,35.72,-22.328096221465646
SO,67.11000061035156,1091546579.0,73253691582.91716,-51416000000.0,-1302750000.0,24.05,-59.03870823271574
ACI,22.6200008392334,575679400.0,13021868511.12938,-8471000000.0,1327000000.0,10.47,8.336237148662955
EL,142.6699981689453,595210114.0,84918625874.51773,-1030000000.0,1273250000.0,50.24,19.661124239565595
IDCC,79.79000091552734,69372000.0,5535191943.511963,582602000.0,126657000.0,12.73,26.65588421841665
DNN,1.4700000286102295,835787520.0,1228607678.3120728,64252000.0,-22745250.0,nan,-0.1952655383033238
CYBR,170.8699951171875,41765066.0,7136396623.489014,466836000.0,84318000.0,nan,31.36630982457923
AEE,78.4000015258789,262600000.0,20587840400.6958,-13988000000.0,-1205750000.0,18.36,-99.18316831683168
EA,131.02999877929688,271748000.0,35607140108.27637,1694000000.0,1630250000.0,40.44,66.22495841735726
GTY,27.790000915527344,50500829.0,1403418084.1448898,-456725000.0,84734500.0,19.85,7.734922529687583
ARES,109.5199966430664,184721719.0,20230722044.781456,-12091044000.0,-1483649250.0,65.98,-145.77352704258885
OFLX,77.70999908447266,10153633.0,789038811.1340714,69485000.0,18011000.0,34.08,24.581841790027276
RBCN,1.7259999513626099,2410265.0,4160117.272771001,2900000.0,-444250.0,nan,-0.6399711235071662
FMC,67.23999786376953,185983792.0,12505549776.775757,1584300000.0,634700000.0,11.71,42.64511393551971
LPX,55.7400016784668,87986865.0,4904388002.783031,261000000.0,634500000.0,25.69,75.079388270056
ESMC,0.30000001192092896,7415329.0,2224598.78839761,3397938.0,-149618.66666666666,10.0,0.25646216551326767
MHK,82.8499984741211,71018000.0,5883841191.635132,2383255000.0,734747750.0,nan,137.01783350699822
ELP,8.180000305175781,2737211939.0,22390394496.350792,-5479730000.0,3038520750.0,58.43,9.098848775699425
ASYS,7.980000019073486,14076472.0,112330246.8284874,59813000.0,-3081666.6666666665,31.92,2.0599148233544127
XENE,35.290000915527344,63718350.0,2248620629.8358917,533110000.0,-57377250.0,nan,-0.6381599649080681
LVS,45.31999969482422,833000000.0,37751559745.788574,-8630000000.0,-818000000.0,647.43,-20.180072028811523
ARKR,15.399999618530273,3600000.0,55439998.626708984,-83967000.0,5929333.333333333,10.77,-6.853796296296298
BCPC,128.41000366210938,32239202.0,4139836046.883484,-88311000.0,106006250.0,41.83,30.141921626968312
NSIT,151.25,33262388.0,5030936185.0,3654710000.0,132246750.0,20.72,149.63379959370326
USEG,1.3799999952316284,26552169.0,36641993.09338939,-7744000.0,-2943000.0,nan,-1.400036283288194
UCTT,26.920000076293945,46500000.0,1251780003.5476685,318400000.0,64082250.0,49.85,20.628440860215054
VPG,32.61000061035156,13604139.0,443630981.0933075,180533000.0,15079250.0,13.36,24.354757033870353
CHD,89.12000274658203,293709982.0,26175434402.53856,-828500000.0,815900000.0,48.97,24.958293722547026
KNX,50.38999938964844,161276000.0,8126697541.564941,-530378000.0,424885500.0,15.9,23.056604826508597
DGLY,2.6500000953674316,2800752.0,7421993.067100525,17494562.0,-15393192.25,nan,-48.714545414945704
UNF,163.67999267578125,18694164.0,3059860626.5998535,748602000.0,75653333.33333333,30.03,80.51364764604254
BRX,20.93000030517578,309719833.0,6482436199.208992,-4623456000.0,522598500.0,17.89,1.9454001190811696
BG,105.12000274658203,169466021.0,17814268592.97233,11352000000.0,-3659000000.0,8.12,-148.92660989544328
AAC,10.760000228881836,71997081.0,774688608.0388241,-8314256.0,-1812540.5,nan,-0.3672324021025241
BOOT,79.38999938964844,30072000.0,2387416061.645508,208683000.0,27098500.0,14.84,15.950651769087523
NMM,23.3700008392334,30184388.0,705409172.8917465,-850630000.0,8709000.0,1.23,-25.295858243009597
AMPS,5.400000095367432,158989953.0,858545761.3624635,-965674000.0,-40637333.333333336,nan,-8.62977381553999
MNDO,1.8700000047683716,20160826.0,37700744.71613431,17362000.0,6076000.0,7.79,3.874940441428342
ODP,45.27000045776367,66597106.0,3014851019.105736,849000000.0,261000000.0,9.33,51.93919387428036
DV,28.860000610351562,167250055.0,4826836689.381332,402862000.0,40797000.0,90.19,4.848022322025544
STZ,237.8000030517578,212697728.0,50579520367.50195,-8272200000.0,1791650000.0,27.62,45.34275044066291
